Scheme Name,Plan,Category Name,Crisil Rating,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio
ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,4,Aggressive Hybrid Fund,8.23,0.8,1.92,7.62,0.2
DSP Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,5,Aggressive Hybrid Fund,8.19,0.78,1.79,6.67,0.19
Edelweiss Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,5,Aggressive Hybrid Fund,8.82,0.87,1.83,7.28,0.19
UTI Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,4,Aggressive Hybrid Fund,8.27,0.82,1.72,5.9,0.17
Kotak Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,Arbitrage Fund,0.85,0.55,2.2,1.08,0.03
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,Arbitrage Fund,0.84,-0.02,2.1,1.99,-0.92
Tata Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,Arbitrage Fund,0.81,0.47,2.25,1.14,0.04
DSP Arbitrage fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,Arbitrage Fund,0.87,0.48,1.88,0.94,0.03
Edelweiss Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,Arbitrage Fund,0.85,0.51,2.14,1.07,0.04
UTI Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,Arbitrage Fund,0.84,0.52,1.96,0.9,0.03
UTI Banking & PSU Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,Banking and PSU Fund,0.95,1.01,2.15,0.35,0.02
Axis Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,Banking and PSU Fund,0.67,0.21,2.5,1.16,0.08
Kotak Debt Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,4,Conservative Hybrid Fund,3.6,1.08,1.98,2.46,0.07
DSP Regular Savings Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,5,Conservative Hybrid Fund,2.76,0.77,2.07,2.39,0.07
UTI Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,4,Conservative Hybrid Fund,3.08,0.95,1.96,1.91,0.06
SBI Contra Fund - Direct Plan - Growth,Direct Plan,Contra Fund,4,Contra Fund,10.64,0.86,1.83,6.52,0.23
Canara Robeco Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,4,Corporate Bond Fund,0.63,0.68,2.58,0.34,0.02
UTI Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,5,Corporate Bond Fund,0.71,0.8,3,0.6,0.03
Axis Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,4,Corporate Bond Fund,0.74,0.86,3.49,0.94,0.03
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,Credit Risk Fund,2.75,0.66,2.21,4.36,0.09
DSP Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,Credit Risk Fund,6.46,0.23,1.43,8.66,0.4
HDFC Balanced Advantage Fund - Direct Plan - Growth,Direct Plan,Dynamic Asset Allocation or Balanced Advantage,4,Dynamic Asset Allocation or Balanced Advantage,8.16,0.99,2.02,8.19,0.17
HDFC Dynamic Debt Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,Dynamic Bond Fund,1.54,0.74,1.63,0.6,0.03
Canara Robeco Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,Dynamic Bond Fund,2.04,0.82,0.96,-0.16,0.02
Franklin India ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,ELSS,11.13,0.91,1.65,5.32,0.2
HDFC ELSS Tax saver - Direct Plan - Growth,Direct Plan,ELSS,5,ELSS,10.25,0.81,1.91,7.12,0.24
SBI ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,5,ELSS,11.09,0.9,1.99,8.52,0.24
Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,ELSS,15.31,1.1,1.66,8.66,0.23
DSP ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,ELSS,11.6,0.95,1.6,4.02,0.19
Franklin India Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,4,Flexi Cap Fund,11.01,0.9,1.65,5.23,0.2
HDFC Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,Flexi Cap Fund,9.99,0.8,2.03,8.11,0.25
Motilal Oswal Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,Flexi Cap Fund,13.78,1,1.58,6.49,0.22
Edelweiss Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,4,Flexi Cap Fund,12.11,0.99,1.51,3.11,0.18
Aditya Birla Sun Life Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,5,Floater Fund,0.34,0.93,6.17,0.58,0.02
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,Focused Fund,10.68,0.86,1.91,7.5,0.24
HDFC Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,Focused Fund,9.42,0.74,2.2,9.45,0.28
DSP Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,Focused Fund,12,0.94,1.48,3.4,0.19
Canara Robeco Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,Focused Fund,10.99,0.89,1.59,4.21,0.2
Franklin India Government Securities Fund - Direct - Growth,Direct Plan,Gilt Fund,5,Gilt Fund,1.32,0.27,0.98,0.19,0.05
ICICI Prudential Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,5,Gilt Fund,1.21,0.32,2.89,3.06,0.11
Tata Gilt Securities Fund - Direct Plan - Appreciation,Direct Plan,Gilt Fund,4,Gilt Fund,1.93,0.56,1.54,1.14,0.05
Edelweiss Government Securities Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,4,Gilt Fund,2.4,2.15,1.06,-1.71,0.01
HDFC Nifty 50 Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,4,Index Funds/ETFs,11.16,0.99,1.09,-0.18,0.12
HDFC BSE Sensex Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,4,Index Funds/ETFs,11.16,0.99,1.02,-0.19,0.12
SBI Nifty Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,5,Index Funds/ETFs,11.17,0.99,1.09,-0.17,0.12
UTI Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,4,Index Funds/ETFs,11.16,0.99,1.09,-0.15,0.12
ICICI Prudential Large & Mid Cap Fund- Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,Large & Mid Cap Fund,10.38,0.81,1.85,4.88,0.24
SBI Large & Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,Large & Mid Cap Fund,10.34,0.81,1.64,2.64,0.21
Nippon India Vision Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,Large & Mid Cap Fund,12.16,0.96,1.57,2.07,0.2
Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,Large & Mid Cap Fund,15.03,1.07,1.81,8.12,0.25
DSP Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,Large & Mid Cap Fund,11.74,0.92,1.65,3.03,0.21
UTI Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,Large & Mid Cap Fund,11.31,0.88,1.78,4.44,0.23
ICICI Prudential Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,Large Cap Fund,10.35,0.88,1.56,4.87,0.18
Kotak Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,Large Cap Fund,10.88,0.93,1.35,2.7,0.16
Nippon India Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,Large Cap Fund,11.38,0.97,1.64,6.56,0.19
DSP Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,Large Cap Fund,10.31,0.86,1.65,6.27,0.2
Edelweiss Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,Large Cap Fund,10.91,0.93,1.42,3.5,0.17
Canara Robeco Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,Large Cap Fund,10.71,0.93,1.38,3.32,0.16
ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,Direct Plan,Long Duration Fund,4,Long Duration Fund,2.42,-0.18,1.36,3.54,-0.18
Tata Treasury Advantage Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,Low Duration Fund,0.25,0.75,6.55,0.44,0.02
DSP Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,Low Duration Fund,0.26,0.86,6.22,0.05,0.02
Canara Robeco Savings Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,5,Low Duration Fund,0.28,0.79,5.85,0.31,0.02
DSP Bond Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,4,Medium Duration Fund,0.99,0.66,2.42,1.11,0.04
Kotak Bond Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,4,Medium to Long Duration Fund,1.64,0.68,1.78,1.32,0.04
Nippon India Medium to Long Duration Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,4,Medium to Long Duration Fund,1.75,0.76,1.7,0.96,0.04
Canara Robeco Income Fund - Direct Plan - Growth Plan,Direct Plan,Medium to Long Duration Fund,5,Medium to Long Duration Fund,1.72,0.77,1.15,-0.06,0.03
Franklin India Prima Fund - Direct - Growth,Direct Plan,Mid Cap Fund,4,Mid Cap Fund,12.92,0.88,1.74,3.28,0.26
HDFC Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,Mid Cap Fund,12.82,0.86,1.93,5.27,0.29
Nippon India Growth Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,Mid Cap Fund,13.84,0.94,1.74,2.82,0.25
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,Mid Cap Fund,14.24,0.84,1.9,8.18,0.32
Edelweiss Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,Mid Cap Fund,14.04,0.94,1.78,3.82,0.27
DSP Savings Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,Money Market Fund,0.2,1.04,7.91,0.09,0.02
ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,Direct Plan,Multi Asset Allocation,4,Multi Asset Allocation,6.25,0.5,2.43,8.97,0.3
ICICI Prudential Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,4,Multi Cap Fund,10.33,0.8,1.82,4.45,0.23
Kotak Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,4,Multi Cap Fund,13.02,0.99,1.73,4.8,0.23
SBI Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,4,Multi Cap Fund,10.45,0.77,1.54,2.28,0.21
Axis Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,5,Multi Cap Fund,12.15,0.92,1.74,4.66,0.23
Kotak Infrastructure and Economic Reform Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,Sectoral/Thematic,13.86,0.82,1.62,5.68,0.27
SBI Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,Sectoral/Thematic,11.74,0.73,1.85,6.86,0.3
Aditya Birla Sun Life India GenNext Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,Sectoral/Thematic,10.14,0.81,1.46,2.54,0.18
DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,Sectoral/Thematic,15.59,1,1.23,6.66,0.19
Canara Robeco Infrastructure - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,Sectoral/Thematic,15.09,0.66,1.68,8.11,0.38
Kotak Bond Short Term Plan - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,Short Duration Fund,0.73,0.94,3.25,0.52,0.03
Canara Robeco Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,5,Short Duration Fund,0.61,0.78,2.75,0.19,0.02
Nippon India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,13.7,0.83,1.69,3.85,0.28
Tata Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,13.94,0.81,1.54,2.84,0.27
Edelweiss Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,13.19,0.79,1.61,3.12,0.27
Axis Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,11.83,0.7,1.58,2.55,0.27
Motilal Oswal Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,Ultra Short Duration Fund,0.13,0.4,4.66,-0.11,0.02
DSP Ultra Short Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.21,0.83,8.01,0.38,0.02
Canara Robeco Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.17,0.85,7.41,-0.04,0.02
ICICI Prudential Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,4,Value Fund,9.38,0.75,1.95,6.91,0.24
Nippon India Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,4,Value Fund,12.73,1.04,1.62,4.77,0.2
DSP Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,5,Value Fund,8.14,-,1.97,-,-
Axis Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,5,Value Fund,12.01,0.96,1.78,6.79,0.22
